# galaxies in flares with stellar mass > 10^8 Msol and dust-attenuated far-UV luminosity log10(Lfuv/erg s^-1 Hz^-1) > 28 
# redshift log10(xiion_16p/erg^-1Hz) log10(xiion_50p/erg^-1Hz) log10(xiion_84p/erg^-1Hz) beta_dust N_galaxies
6.000000000000000000e+00 2.520973047538628364e+01 2.539459874824985519e+01 2.550581413811712039e+01 -2.483790877437300537e+00 1.410000000000000000e+02
6.000000000000000000e+00 2.524463724629029215e+01 2.539025329408566023e+01 2.550214207502768460e+01 -2.283790877437300360e+00 5.638000000000000000e+03
6.000000000000000000e+00 2.521256202712259409e+01 2.535720842858536628e+01 2.545376208865798873e+01 -2.083790877437300182e+00 3.430000000000000000e+03
6.000000000000000000e+00 2.518826364453563471e+01 2.527942099086777006e+01 2.537637072794258941e+01 -1.883790877437300004e+00 1.110000000000000000e+03
6.000000000000000000e+00 2.511160712594627498e+01 2.520067770516098804e+01 2.526205228385989443e+01 -1.683790877437299827e+00 4.770000000000000000e+02
6.000000000000000000e+00 2.511800673322152022e+01 2.515163338286994588e+01 2.522670149675581541e+01 -1.483790877437299649e+00 8.600000000000000000e+01
6.000000000000000000e+00 2.494835864588368324e+01 2.506618267781501785e+01 2.508605128688737906e+01 -1.283790877437299471e+00 2.500000000000000000e+01
5.000000000000000000e+00 2.509408716189761890e+01 2.533928253468742753e+01 2.556092545035814112e+01 -2.477985999805135009e+00 1.460000000000000000e+02
5.000000000000000000e+00 2.521945324614282313e+01 2.538731437261526125e+01 2.550602918441671463e+01 -2.277985999805134831e+00 6.386000000000000000e+03
5.000000000000000000e+00 2.520861889498986130e+01 2.534350721666986672e+01 2.545304919055073256e+01 -2.077985999805134654e+00 7.510000000000000000e+03
5.000000000000000000e+00 2.518081902544843231e+01 2.527538692519504693e+01 2.537669890022084473e+01 -1.877985999805134476e+00 2.261000000000000000e+03
5.000000000000000000e+00 2.511560337445095570e+01 2.518581759066877268e+01 2.524994037561760152e+01 -1.677985999805134298e+00 8.910000000000000000e+02
5.000000000000000000e+00 2.502165551775527774e+01 2.513976483121549066e+01 2.526865542299930567e+01 -1.477985999805134121e+00 2.040000000000000000e+02
5.000000000000000000e+00 2.481412529873929529e+01 2.500999398245158289e+01 2.507982648427813999e+01 -1.277985999805133943e+00 6.100000000000000000e+01
