# galaxies in flares with stellar mass > 10^8 Msol and dust-attenuated far-UV luminosity log10(Lfuv/erg s^-1 Hz^-1) > 28 
# redshift log10(xiion_16p/erg^-1Hz) log10(xiion_50p/erg^-1Hz) log10(xiion_84p/erg^-1Hz) beta_nebular N_galaxies
6.000000000000000000e+00 2.531807563029270369e+01 2.542451579555007868e+01 2.551187728921739506e+01 -2.568296472959212817e+00 4.146000000000000000e+03
6.000000000000000000e+00 2.518992744953474272e+01 2.531291510504751230e+01 2.543303483711648383e+01 -2.368296472959212640e+00 6.214000000000000000e+03
6.000000000000000000e+00 2.495484417634192553e+01 2.512209341704268084e+01 2.518801047855691522e+01 -2.168296472959212462e+00 4.920000000000000000e+02
6.000000000000000000e+00 2.501894827036356617e+01 2.511462567092565479e+01 2.512610326386741733e+01 -1.968296472959212284e+00 4.400000000000000000e+01
6.000000000000000000e+00 2.478765558322048079e+01 2.489702933604699808e+01 2.493364313746939587e+01 -1.768296472959212107e+00 1.100000000000000000e+01
6.000000000000000000e+00 2.433948278903599416e+01 2.488086969733253895e+01 2.495024059429514551e+01 -1.568296472959211929e+00 5.000000000000000000e+00
5.000000000000000000e+00 2.533305772363188169e+01 2.543161739413442746e+01 2.552428676987465295e+01 -2.562464618916519665e+00 5.221000000000000000e+03
5.000000000000000000e+00 2.518699221596495263e+01 2.531074326224022997e+01 2.542376353026646996e+01 -2.362464618916519488e+00 1.081800000000000000e+04
5.000000000000000000e+00 2.503910004293603819e+01 2.513524370506003436e+01 2.518910862429013875e+01 -2.162464618916519310e+00 1.224000000000000000e+03
5.000000000000000000e+00 2.495543454610604428e+01 2.503039457845857285e+01 2.509492529906292901e+01 -1.962464618916519132e+00 1.640000000000000000e+02
5.000000000000000000e+00 2.478789960682285809e+01 2.495216692295451111e+01 2.524469114061106012e+01 -1.762464618916518955e+00 2.400000000000000000e+01
5.000000000000000000e+00 2.440398003317301701e+01 2.507858550569203260e+01 2.510701783549724198e+01 -1.562464618916518777e+00 2.400000000000000000e+01
