# galaxies in flares with stellar mass > 10^8 Msol and dust-attenuated far-UV luminosity log10(Lfuv/erg s^-1 Hz^-1) > 28 
# redshift log10(xiion_16p/erg^-1Hz) log10(xiion_50p/erg^-1Hz) log10(xiion_84p/erg^-1Hz) beta_stellar N_galaxies
6.000000000000000000e+00 2.556863187830312611e+01 2.560134502576090298e+01 2.564081698917922125e+01 -2.903942502896064148e+00 1.140000000000000000e+02
6.000000000000000000e+00 2.537042748907914103e+01 2.543588439566215698e+01 2.551275576576846049e+01 -2.703942502896063971e+00 4.982000000000000000e+03
6.000000000000000000e+00 2.517974334622114796e+01 2.528576437186399062e+01 2.536249373094629789e+01 -2.503942502896063793e+00 4.600000000000000000e+03
6.000000000000000000e+00 2.481479098022053620e+01 2.514629005990877886e+01 2.521621737920468576e+01 -2.303942502896063615e+00 9.760000000000000000e+02
6.000000000000000000e+00 2.496250012301882393e+01 2.509896164584167977e+01 2.517654810616953398e+01 -2.103942502896063438e+00 2.070000000000000000e+02
6.000000000000000000e+00 2.491718485484194545e+01 2.492668605569172158e+01 2.510336799101975558e+01 -1.903942502896063260e+00 2.100000000000000000e+01
6.000000000000000000e+00 2.444494989881638602e+01 2.482933052489255843e+01 2.498541260047761270e+01 -1.703942502896063083e+00 1.100000000000000000e+01
6.000000000000000000e+00 2.447225825913999131e+01 2.486057416616302973e+01 2.497165941737250705e+01 -1.503942502896062905e+00 4.000000000000000000e+00
5.000000000000000000e+00 2.560890255518847525e+01 2.562370950952182014e+01 2.563866290877232146e+01 -2.920604455255571885e+00 8.500000000000000000e+01
5.000000000000000000e+00 2.539567178193407671e+01 2.546416398072058485e+01 2.553301336788443265e+01 -2.720604455255571708e+00 5.193000000000000000e+03
5.000000000000000000e+00 2.520914238238133009e+01 2.530965421543478655e+01 2.538618694175745105e+01 -2.520604455255571530e+00 9.087000000000000000e+03
5.000000000000000000e+00 2.499501890325422693e+01 2.516767470550318109e+01 2.523319606627161704e+01 -2.320604455255571352e+00 2.307000000000000000e+03
5.000000000000000000e+00 2.500680648963971109e+01 2.510525745711810686e+01 2.515592011743261125e+01 -2.120604455255571175e+00 6.690000000000000000e+02
5.000000000000000000e+00 2.478504798521990082e+01 2.501116646339927030e+01 2.503200998243194420e+01 -1.920604455255570997e+00 9.400000000000000000e+01
5.000000000000000000e+00 2.427120569406091377e+01 2.492750657809921577e+01 2.511295396094297061e+01 -1.720604455255570819e+00 2.200000000000000000e+01
5.000000000000000000e+00 2.501006760364918691e+01 2.507858051472506844e+01 2.511429065764951574e+01 -1.520604455255570642e+00 2.200000000000000000e+01
