# galaxies in flares with stellar mass > 10^8 Msol and dust-attenuated far-UV luminosity log10(Lfuv/erg s^-1 Hz^-1) > 28 
# redshift log10(xiion_16p/erg^-1Hz) log10(xiion_50p/erg^-1Hz) log10(xiion_84p/erg^-1Hz) log10(M_*/Msol) N_galaxies
1.000000000000000000e+01 2.529094543705609155e+01 2.543563031205751201e+01 2.553091936951834029e+01 8.000000000000000000e+00 2.030000000000000000e+02
1.000000000000000000e+01 2.510539873031133240e+01 2.543497724013306538e+01 2.548184799036461001e+01 8.250000000000000000e+00 2.520000000000000000e+02
1.000000000000000000e+01 2.536417515240865939e+01 2.540506242067061038e+01 2.544584888751546359e+01 8.500000000000000000e+00 1.210000000000000000e+02
1.000000000000000000e+01 2.525277028853870220e+01 2.539362841117960912e+01 2.553536237205625881e+01 8.750000000000000000e+00 6.200000000000000000e+01
1.000000000000000000e+01 2.523828288292081723e+01 2.524518577274090703e+01 2.541857099425488897e+01 9.000000000000000000e+00 5.500000000000000000e+01
1.000000000000000000e+01 2.522476039142437187e+01 2.532583276698672492e+01 2.532776508365348178e+01 9.250000000000000000e+00 2.700000000000000000e+01
1.000000000000000000e+01 2.527354042714551952e+01 2.527525064108447594e+01 2.528814461249625012e+01 9.500000000000000000e+00 1.600000000000000000e+01
1.000000000000000000e+01 2.525732885468346467e+01 2.528584661659655097e+01 2.530639268367559680e+01 9.750000000000000000e+00 5.000000000000000000e+00
1.000000000000000000e+01 2.509150140080767599e+01 2.509697123026160170e+01 2.513984321362351437e+01 1.000000000000000000e+01 2.000000000000000000e+00
1.000000000000000000e+01 2.516445256881500470e+01 2.516445256881500470e+01 2.516445256881500470e+01 1.025000000000000000e+01 1.000000000000000000e+00
9.000000000000000000e+00 2.531155076170293228e+01 2.544305364503671285e+01 2.555702942118771048e+01 8.000000000000000000e+00 3.660000000000000000e+02
9.000000000000000000e+00 2.519031440454822501e+01 2.540846719829359301e+01 2.548736659919440939e+01 8.250000000000000000e+00 5.800000000000000000e+02
9.000000000000000000e+00 2.533166428959957628e+01 2.540344352001458361e+01 2.546984975246696692e+01 8.500000000000000000e+00 2.820000000000000000e+02
9.000000000000000000e+00 2.534820626130149535e+01 2.538923647475984424e+01 2.542386440908780543e+01 8.750000000000000000e+00 1.390000000000000000e+02
9.000000000000000000e+00 2.502186129490097599e+01 2.532828321410448069e+01 2.536498699214728703e+01 9.000000000000000000e+00 9.400000000000000000e+01
9.000000000000000000e+00 2.520660755070173664e+01 2.525820175137398493e+01 2.534262106393554959e+01 9.250000000000000000e+00 7.100000000000000000e+01
9.000000000000000000e+00 2.511910841584357357e+01 2.523019614350834061e+01 2.525348176561889701e+01 9.500000000000000000e+00 4.200000000000000000e+01
9.000000000000000000e+00 2.512565394692618526e+01 2.512936718553726578e+01 2.524101808792758916e+01 9.750000000000000000e+00 1.900000000000000000e+01
9.000000000000000000e+00 2.505644043129654719e+01 2.524075660632188445e+01 2.529526025620229746e+01 1.000000000000000000e+01 7.000000000000000000e+00
9.000000000000000000e+00 2.508399185519424535e+01 2.515171343439571316e+01 2.521337807760056648e+01 1.025000000000000000e+01 2.000000000000000000e+00
9.000000000000000000e+00 2.514382854294684222e+01 2.514382854294684222e+01 2.514382854294684222e+01 1.050000000000000000e+01 1.000000000000000000e+00
8.000000000000000000e+00 2.533376170151030493e+01 2.543888305049032894e+01 2.553310326854169077e+01 8.000000000000000000e+00 5.550000000000000000e+02
8.000000000000000000e+00 2.522749942373351217e+01 2.538582589930501499e+01 2.547544771734019875e+01 8.250000000000000000e+00 1.164000000000000000e+03
8.000000000000000000e+00 2.517232996208247542e+01 2.537611750215743101e+01 2.547217000933641273e+01 8.500000000000000000e+00 7.000000000000000000e+02
8.000000000000000000e+00 2.526223596835170682e+01 2.538056400937045254e+01 2.542636249341143184e+01 8.750000000000000000e+00 3.100000000000000000e+02
8.000000000000000000e+00 2.524807756557913763e+01 2.533897543213893400e+01 2.542322142209874514e+01 9.000000000000000000e+00 1.730000000000000000e+02
8.000000000000000000e+00 2.523963214543068645e+01 2.528990153764520343e+01 2.537172552733177255e+01 9.250000000000000000e+00 1.480000000000000000e+02
8.000000000000000000e+00 2.518460201572375823e+01 2.519907683215118510e+01 2.528090297426600941e+01 9.500000000000000000e+00 1.080000000000000000e+02
8.000000000000000000e+00 2.508245926877483711e+01 2.518459014024186970e+01 2.525838335970936654e+01 9.750000000000000000e+00 6.800000000000000000e+01
8.000000000000000000e+00 2.512156821696457598e+01 2.517571677249022599e+01 2.522906778773669245e+01 1.000000000000000000e+01 2.700000000000000000e+01
8.000000000000000000e+00 2.505030214163105740e+01 2.513751532691099655e+01 2.519416483813807872e+01 1.025000000000000000e+01 1.000000000000000000e+01
8.000000000000000000e+00 2.506470007649341269e+01 2.506616583929001152e+01 2.509116340790466282e+01 1.050000000000000000e+01 4.000000000000000000e+00
8.000000000000000000e+00 2.511140892548331749e+01 2.511140892548331749e+01 2.511140892548331749e+01 1.075000000000000000e+01 1.000000000000000000e+00
7.000000000000000000e+00 2.533867121597745253e+01 2.545893526852373512e+01 2.553867395152152397e+01 8.000000000000000000e+00 7.360000000000000000e+02
7.000000000000000000e+00 2.521170107123171178e+01 2.539262569938973613e+01 2.550829008681947130e+01 8.250000000000000000e+00 1.855000000000000000e+03
7.000000000000000000e+00 2.521072624237818616e+01 2.537295380028514913e+01 2.545853775374270711e+01 8.500000000000000000e+00 1.582000000000000000e+03
7.000000000000000000e+00 2.524147644661508139e+01 2.534918439309248228e+01 2.544863832859753927e+01 8.750000000000000000e+00 8.200000000000000000e+02
7.000000000000000000e+00 2.526925122223582676e+01 2.536679751487992718e+01 2.540843682354272204e+01 9.000000000000000000e+00 4.000000000000000000e+02
7.000000000000000000e+00 2.520154709717883890e+01 2.528176661996906560e+01 2.532910655238332254e+01 9.250000000000000000e+00 2.510000000000000000e+02
7.000000000000000000e+00 2.519778982710620951e+01 2.525687153151634590e+01 2.531713583904437570e+01 9.500000000000000000e+00 2.370000000000000000e+02
7.000000000000000000e+00 2.514931591376444331e+01 2.522437905486858511e+01 2.527077614718055898e+01 9.750000000000000000e+00 1.770000000000000000e+02
7.000000000000000000e+00 2.504728852150799057e+01 2.514466717442162391e+01 2.524389666756513506e+01 1.000000000000000000e+01 8.600000000000000000e+01
7.000000000000000000e+00 2.511306829341432234e+01 2.519332030691678170e+01 2.522425113440117173e+01 1.025000000000000000e+01 4.800000000000000000e+01
